pos,Team,Matches,wins,Draws,Losses,Goals,Dif,Points
1,Manchester United,1176,718,261,197,2226:1094,1132,2415
2,Arsenal FC,1175,636,287,252,2068:1171,897,2195
3,Chelsea FC,1175,626,291,258,1996:1148,848,2169
4,Liverpool FC,1174,619,287,268,2059:1175,884,2144
5,Tottenham Hotspur,1176,515,284,377,1789:1473,316,1829
6,Manchester City,986,489,214,283,1718:1092,626,1681
7,Everton FC,1175,423,326,426,1508:1511,-3,1595
8,Newcastle United,1057,392,275,390,1412:1432,-20,1451
9,Aston Villa,1061,362,300,399,1293:1391,-98,1386
10,West Ham United,1019,340,258,421,1254:1458,-204,1278
11,Southampton FC,909,279,244,386,1097:1322,-225,1081
12,Blackburn Rovers,696,262,184,250,927:907,20,970
13,Leicester City,635,216,163,256,856:909,-53,811
14,Leeds United,567,220,148,199,773:745,28,808
15,Fulham FC,595,173,160,262,667:862,-195,679
16,Middlesbrough FC,574,165,169,240,648:794,-146,661
17,Sunderland AFC,608,153,159,296,612:904,-292,618
18,Crystal Palace,525,151,137,237,568:757,-189,590
19,Bolton Wanderers,494,149,128,217,575:745,-170,575
20,West Bromwich Albion,494,117,139,238,510:772,-262,490
21,Stoke City,380,116,109,155,398:525,-127,457
22,Coventry City,354,99,112,143,387:490,-103,409
23,Norwich City,392,99,105,188,414:669,-255,402
24,Sheffield Wednesday,316,101,89,126,409:453,-44,392
25,Wimbledon FC,316,99,94,123,384:472,-88,391
26,Wolverhampton Wanderers,328,96,84,148,346:495,-149,372
27,Charlton Athletic,304,93,82,129,342:442,-100,361
28,Wigan Athletic,304,85,76,143,316:482,-166,331
29,Burnley FC,304,83,76,145,300:455,-155,325
30,Swansea City,266,82,66,118,306:383,-77,312
31,Queens Park Rangers,278,81,65,132,339:431,-92,308
32,Birmingham City,266,73,82,111,273:360,-87,301
33,Portsmouth FC,266,79,65,122,292:380,-88,293
34,Watford FC,304,73,66,165,310:518,-208,285
35,Derby County,266,68,70,128,271:420,-149,274
36,Nottingham Forest,221,66,66,89,247:325,-78,264
37,Brighton & Hove Albion,212,58,70,84,229:287,-58,244
38,AFC Bournemouth,213,61,49,103,262:374,-112,232
39,Ipswich Town,202,57,53,92,219:312,-93,224
40,Sheffield United,198,53,50,95,187:270,-83,209
41,Hull City,190,41,48,101,181:323,-142,171
42,Reading FC,114,32,23,59,136:186,-50,119
43,Oldham Athletic,84,22,23,39,105:142,-37,89
44,Brentford FC,61,21,18,22,85:86,-1,81
45,Cardiff City,76,17,13,46,66:143,-77,64
46,Bradford City,76,14,20,42,68:138,-70,62
47,Huddersfield Town,76,12,17,47,50:134,-84,53
48,Blackpool FC,38,10,9,19,55:78,-23,39
49,Barnsley FC,38,10,5,23,37:82,-45,35
50,Swindon Town,42,5,15,22,47:100,-53,30
