Rank,Name,Club,AssistsA,GoalsGL,PlayedP,Chances Created,Chances per 90,Total Passes,Passes Complete,Passes Incomplete,Pass Accuracy
1,Kevin De Bruyne,Manchester City,11,3,20,55,2.75,872,694,178,80%
2,Bukayo Saka,Arsenal,7,7,20,40,2.00,648,539,109,83%
2,Christian Eriksen,Manchester United,7,1,19,18,0.95,961,795,166,83%
4,Martin ØdegaardØdegaard,Arsenal,5,8,19,36,1.89,798,654,144,82%
4,Gabriel Jesus,Arsenal,5,5,14,17,1.21,387,317,70,82%
4,Granit Xhaka,Arsenal,5,3,20,28,1.40,923,798,125,86%
4,Dejan Kulusevski,Tottenham Hotspur,5,2,14,20,1.43,364,289,75,79%
4,Bernardo Silva,Manchester City,5,2,20,18,0.90,893,801,92,90%
4,Andreas Pereira,Fulham,5,2,22,43,1.95,568,407,161,72%
4,Alex Iwobi,Everton,5,1,21,28,1.33,848,698,150,82%
4,Andrew Robertson,Liverpool,5,0,18,25,1.39,877,734,143,84%
4,Ivan Perisic,Tottenham Hotspur,5,0,22,25,1.14,512,374,138,73%
13,James Maddison,Leicester City,4,8,15,29,1.93,547,453,94,83%
13,Mohamed Salah,Liverpool,4,7,20,34,1.70,513,394,119,77%
13,Ollie Watkins,Aston Villa,4,5,20,12,0.60,323,230,93,71%
13,Bruno Fernandes,Manchester United,4,5,20,50,2.50,949,744,205,78%
13,Solly March,Brighton & Hove Albion,4,4,20,23,1.15,665,520,145,78%
13,Mathias Jensen,Brentford,4,3,21,19,0.90,701,525,176,75%
13,Marcus Tavernier,A F C Bournemouth,4,2,15,11,0.73,409,313,96,77%
13,Michael Olise,Crystal Palace,4,2,20,29,1.45,594,468,126,79%
13,Douglas Luiz,Aston Villa,4,2,20,22,1.10,876,759,117,87%
13,Morgan Gibbs-,"White Wolverhampton Wanderers, Nottingham Forest Wolves, Nottm",4,2,19,32,1.68,532,381,151,72%
13,Jamie Vardy,Leicester City,4,1,21,5,0.24,157,86,71,55%
13,Jack Harrison,Leeds United,4,1,18,27,1.50,465,334,131,72%
