,#,Player,Country,Team,Goals,Penalty
0,1.,Erling Haaland,Norway,Manchester City ,21,3
1,2.,Harry Kane,England,Tottenham Hotspur ,15,2
2,3.,Ivan Toney,England,Brentford FC ,12,3
3,4.,Aleksandar Mitrović,Serbia,Fulham FC ,11,3
4,5., Rodrigo,Spain,Leeds United ,10,1
5,6.,Miguel Almirón,Paraguay,Newcastle United ,9,0
6,7.,Phil Foden,England,Manchester City ,7,0
7,, Gabriel Martinelli,Brazil,Arsenal FC ,7,0
8,,James Maddison,England,Leicester City ,7,0
9,,Martin Ødegaard,Norway,Arsenal FC ,7,0
10,,Marcus Rashford,England,Manchester United ,7,0
11,, Roberto Firmino,Brazil,Liverpool FC ,7,0
12,,Mo Salah,Egypt,Liverpool FC ,7,0
13,,Leandro Trossard,Belgium,Brighton & Hove Albion ,7,0
14,15.,Harvey Barnes,England,Leicester City ,6,0
15,,Pascal Groß,Germany,Brighton & Hove Albion ,6,0
16,,Danny Ings,England,Aston Villa ,6,2
17,,Bukayo Saka,England,Arsenal FC ,6,1
18,,Callum Wilson,England,Newcastle United ,6,1
19,,Wilfried Zaha,Ivory Coast,Crystal Palace ,6,0
20,21., Gabriel Jesus,Brazil,Arsenal FC ,5,0
21,,Alexis Mac Allister,Argentina,Brighton & Hove Albion ,5,3
22,,Darwin Núñez,Uruguay,Liverpool FC ,5,0
23,24.,Ché Adams,Scotland,Southampton FC ,4,0
24,,Taiwo Awoniyi,Nigeria,Nottingham Forest ,4,0
25,,Rodrigo Bentancur,Uruguay,Tottenham Hotspur ,4,0
26,,Philip Billing,Denmark,AFC Bournemouth ,4,0
27,, Daniel Podence,Portugal,Wolverhampton Wanderers ,4,0
28,,Bobby Decordova-Reid,Jamaica,Fulham FC ,4,0
29,,Kai Havertz,Germany,Chelsea FC ,4,0
30,,Pierre-Emile Højbjerg,Denmark,Tottenham Hotspur ,4,0
31,,Bryan Mbeumo,Cameroon,Brentford FC ,4,1
32,,Kieffer Moore,Wales,AFC Bournemouth ,4,0
33,, Rúben Neves,Portugal,Wolverhampton Wanderers ,4,2
34,,Heung-min Son,South Korea,Tottenham Hotspur ,4,0
35,,Raheem Sterling,England,Chelsea FC ,4,0
36,,Crysencio Summerville,Netherlands,Leeds United ,4,0
37,,Yoane Wissa,Congo DR,Brentford FC ,4,0
38,39.,Julián Álvarez,Argentina,Manchester City ,3,0
39,, Antony,Brazil,Manchester United ,3,0
40,,Leon Bailey,Jamaica,Aston Villa ,3,0
41,,Saïd Benrahma,Algeria,West Ham United ,3,2
42,, Bruno Guimarães,Brazil,Newcastle United ,3,0
43,,Patson Daka,Zambia,Leicester City ,3,0
44,,Joshua Dasilva,England,Brentford FC ,3,0
45,,Kevin De Bruyne,Belgium,Manchester City ,3,0
46,,Luis Díaz,Colombia,Liverpool FC ,3,0
47,,Odsonne Édouard,France,Crystal Palace ,3,0
48,,Eberechi Eze,England,Crystal Palace ,3,0
49,,Anthony Gordon,England,Everton FC ,3,0
50,,Demarai Gray,England,Everton FC ,3,1
51,, João Palhinha,Portugal,Fulham FC ,3,0
52,,Anthony Martial,France,Manchester United ,3,1
53,,Kaoru Mitoma,Japan,Brighton & Hove Albion ,3,0
54,,Mason Mount,England,Chelsea FC ,3,0
55,,Gianluca Scamacca,Italy,West Ham United ,3,0
56,,Dominic Solanke,England,AFC Bournemouth ,3,0
