Season,Goals,Matches,Average Goals
1889/1890,611,132,4.6288
1888/1889,586,132,4.4394
1891/1892,777,182,4.2692
1890/1891,554,132,4.197
1930/1931,1823,462,3.9459
1893/1894,939,240,3.9125
1892/1893,936,240,3.9
1894/1895,917,240,3.8208
1927/1928,1765,462,3.8203
1929/1930,1758,462,3.8052
1931/1932,1727,462,3.7381
1960/1961,1724,462,3.7316
1957/1958,1721,462,3.7251
1925/1926,1703,462,3.6861
1958/1959,1692,462,3.6623
1928/1929,1688,462,3.6537
1934/1935,1677,462,3.6299
1926/1927,1668,462,3.6104
1932/1933,1645,462,3.5606
1953/1954,1626,462,3.5195
1959/1960,1618,462,3.5022
1956/1957,1612,462,3.4892
1961/1962,1582,462,3.4242
1954/1955,1572,462,3.4026
1963/1964,1571,462,3.4004
1935/1936,1556,462,3.368
1936/1937,1555,462,3.3658
1895/1896,807,240,3.3625
1964/1965,1543,462,3.3398
1962/1963,1536,462,3.3247
1955/1956,1529,462,3.3095
1933/1934,1524,462,3.2987
1946/1947,1513,462,3.2749
1905/1906,1242,380,3.2684
1952/1953,1508,462,3.2641
1951/1952,1490,462,3.2251
1914/1915,1201,380,3.1605
1965/1966,1457,462,3.1537
1909/1910,1194,380,3.1421
1896/1897,751,240,3.1292
1908/1909,1185,380,3.1184
1937/1938,1430,462,3.0952
1907/1908,1176,380,3.0947
1938/1939,1418,462,3.0693
1903/1904,939,306,3.0686
1950/1951,1413,462,3.0584
1912/1913,1153,380,3.0342
1967/1968,1398,462,3.026
1906/1907,1148,380,3.0211
1897/1898,724,240,3.0167
1966/1967,1387,462,3.0022
1904/1905,904,306,2.9542
1947/1948,1343,462,2.9069
1913/1914,1103,380,2.9026
1902/1903,885,306,2.8922
1919/1920,1332,462,2.8831
1898/1899,868,306,2.8366
2018/2019,1072,380,2.8211
1948/1949,1303,462,2.8203
2021/2022,1071,380,2.8184
2011/2012,1066,380,2.8053
2016/2017,1064,380,2.8
1899/1900,856,306,2.7974
2010/2011,1063,380,2.7974
2012/2013,1063,380,2.7974
1900/1901,855,306,2.7941
1999/2000,1060,380,2.7895
1984/1985,1288,462,2.7879
1985/1986,1288,462,2.7879
1911/1912,1057,380,2.7816
2009/2010,1053,380,2.7711
2022/2023,551,199,2.7688
2013/2014,1052,380,2.7684
1920/1921,1276,462,2.7619
1990/1991,1049,380,2.7605
1901/1902,840,306,2.7451
1982/1983,1264,462,2.7359
2019/2020,1034,380,2.7211
1983/1984,1250,462,2.7056
1910/1911,1028,380,2.7053
2015/2016,1026,380,2.7
1949/1950,1247,462,2.6991
2020/2021,1024,380,2.6947
1921/1922,1244,462,2.6926
1997/1998,1019,380,2.6816
2017/2018,1018,380,2.6789
1977/1978,1231,462,2.6645
2003/2004,1012,380,2.6632
1975/1976,1230,462,2.6623
1980/1981,1228,462,2.658
1992/1993,1222,462,2.645
2007/2008,1002,380,2.6368
1978/1979,1217,462,2.6342
2001/2002,1001,380,2.6342
2002/2003,1000,380,2.6316
1922/1923,1215,462,2.6299
1986/1987,1215,462,2.6299
1968/1969,1213,462,2.6255
1974/1975,1213,462,2.6255
1969/1970,1212,462,2.6234
2000/2001,992,380,2.6105
1995/1996,988,380,2.6
1989/1990,986,380,2.5947
1993/1994,1195,462,2.5866
1994/1995,1195,462,2.5866
1924/1925,1192,462,2.5801
2004/2005,975,380,2.5658
2014/2015,975,380,2.5658
1976/1977,1183,462,2.5606
1996/1997,970,380,2.5526
1991/1992,1174,462,2.5411
1981/1982,1173,462,2.539
1988/1989,962,380,2.5316
1998/1999,959,380,2.5237
1971/1972,1160,462,2.5108
1972/1973,1160,462,2.5108
1979/1980,1159,462,2.5087
1987/1988,1049,420,2.4976
2005/2006,944,380,2.4842
2008/2009,942,380,2.4789
1923/1924,1143,462,2.474
2006/2007,931,380,2.45
1973/1974,1107,462,2.3961
1970/1971,1089,462,2.3571
