position,Team,Matches,Wins,Draws,Loss,goals,Dif.,Points
1,Wolverhampton Wanderers,38,27,7,4,98:42,56,61:15
2,Preston North End,38,24,6,8,94:47,47,54:22
3,West Bromwich Albion,38,16,14,8,82:62,20,46:30
4,Tottenham Hotspur,38,17,9,12,85:75,10,43:33
5,Manchester City,38,19,5,14,93:94,-1,43:33
6,Luton Town,38,18,6,14,64:53,11,42:34
7,Manchester United,38,15,11,12,82:69,13,41:35
8,Burnley FC,38,19,3,16,74:71,3,41:35
9,Blackpool FC,38,17,6,15,74:62,12,40:36
10,Nottingham Forest,38,15,9,14,67:56,11,39:37
11,Chelsea FC,38,14,9,15,78:75,3,37:39
12,Bolton Wanderers,38,14,8,16,61:77,-16,36:40
13,Everton FC,38,12,11,15,59:67,-8,35:41
14,Arsenal FC,38,15,5,18,68:78,-10,35:41
15,Birmingham City,38,12,10,16,69:86,-17,34:42
16,Portsmouth FC,38,12,8,18,70:78,-8,32:44
17,Aston Villa,38,13,6,19,64:84,-20,32:44
18,Leeds United,38,12,7,19,47:61,-14,31:45
19,Newcastle United,38,12,6,20,67:73,-6,30:46
20,Leicester City,38,12,5,21,83:102,-19,29:47
21,Sunderland AFC,38,8,12,18,47:92,-45,28:48
22,Sheffield Wednesday,38,10,7,21,64:86,-22,27:49
