Season,Round,date,Home,Result,Guest
1908/1909,36. Round,21/04/1909,Nottingham Forest,12:0 ,Leicester Fosse
1891/1892,23. Round,04/04/1892,West Bromwich Albion,12:0 ,Darwen
1891/1892,23. Round,12/03/1892,Aston Villa,12:2 ,Accrington FC
1928/1929,25. Round,19/01/1929,Sheffield United,10:0,Burnley FC
1928/1929,11. Round,20/10/1928,Leicester City,10:0,Portsmouth FC
1925/1926,1. Round,29/08/1925,Aston Villa,10:0,Burnley FC
1912/1913,8. Round,05/10/1912,Aston Villa,10:0 ,The Wednesday FC
1889/1890,1. Round,14/09/1889,Preston North End,10:0 ,Stoke City
1925/1926,36. Round,01/01/1926,Sheffield United,11:2,Cardiff City
1963/1964,24. Round,26/12/1963,Fulham FC,10:1,Ipswich Town
1937/1938,37. Round,15/04/1938,Wolverhampton Wanderers,10:1,Leicester City
1930/1931,19. Round,13/12/1930,Huddersfield Town,10:1,Blackpool FC
1892/1893,7. Round,15/10/1892,Newton Heath FC,10:1 ,Wolverhampton Wanderers
2022/2023,4. Round,27/08/2022,Liverpool FC,9:0,AFC Bournemouth
2020/2021,22. Round,02/02/2021,Manchester United,9:0,Southampton FC
2019/2020,10. Round,25/10/2019,Southampton FC,0:9,Leicester City
1994/1995,32. Round,03/03/1995,Manchester United,9:0,Ipswich Town
1989/1990,4. Round,11/09/1989,Liverpool FC,9:0,Crystal Palace
1959/1960,8. Round,16/09/1959,Wolverhampton Wanderers,9:0,Fulham FC
1899/1900,2. Round,04/09/1899,Aston Villa,9:0 ,Glossop North End
1898/1899,23. Round,21/01/1899,Derby County,9:0 ,The Wednesday FC
1893/1894,22. Round,26/12/1893,Aston Villa,9:0 ,Darwen
1891/1892,19. Round,09/01/1892,Burnley FC,9:0 ,Darwen
1891/1892,13. Round,28/11/1891,Notts County,9:0 ,Accrington FC
1890/1891,19. Round,10/01/1891,Derby County,9:0 ,Wolverhampton Wanderers
2009/2010,13. Round,22/11/2009,Tottenham Hotspur,9:1,Wigan Athletic
1963/1964,35. Round,21/03/1964,Stoke City,9:1,Ipswich Town
1955/1956,5. Round,03/09/1955,Cardiff City,1:9,Wolverhampton Wanderers
1930/1931,18. Round,28/01/1931,Arsenal FC,9:1,Grimsby Town
1930/1931,19. Round,13/12/1930,Sheffield Wednesday,9:1,Birmingham FC
1908/1909,16. Round,05/12/1908,Newcastle United,1:9 ,Sunderland AFC
1906/1907,2. Round,03/09/1906,Everton FC,9:1 ,Manchester City
1894/1895,22. Round,05/01/1895,Blackburn Rovers,9:1 ,Small Heath Birmingham
1889/1890,13. Round,07/12/1889,Wolverhampton Wanderers,9:1 ,Burnley FC
1889/1890,9. Round,16/11/1889,Blackburn Rovers,9:1 ,Notts County
1888/1889,4. Round,29/09/1888,Aston Villa,9:1 ,Notts County
2019/2020,6. Round,21/09/2019,Manchester City,8:0,Watford FC
2014/2015,8. Round,18/10/2014,Southampton FC,8:0,Sunderland AFC
2012/2013,18. Round,23/12/2012,Chelsea FC,8:0,Aston Villa
2009/2010,38. Round,09/05/2010,Chelsea FC,8:0,Wigan Athletic
1999/2000,8. Round,19/09/1999,Newcastle United,8:0,Sheffield Wednesday
1982/1983,7. Round,24/09/1982,Watford FC,8:0,Sunderland AFC
1971/1972,18. Round,19/11/1971,Everton FC,8:0,Southampton FC
1968/1969,15. Round,19/10/1968,West Ham United,8:0,Sunderland AFC
1959/1960,18. Round,21/11/1959,Burnley FC,8:0,Nottingham Forest
1957/1958,28. Round,01/02/1958,Preston North End,8:0,Birmingham City
1950/1951,11. Round,30/09/1950,Middlesbrough FC,8:0,Huddersfield Town
1947/1948,42. Round,01/05/1948,Arsenal FC,8:0,Grimsby Town
1934/1935,38. Round,19/04/1935,Arsenal FC,8:0,Middlesbrough FC
1934/1935,19. Round,15/12/1934,Arsenal FC,8:0,Leicester City
