Season,Top scorer,Team,goals
2021/2022,Mohamed Salah,Liverpool FC,23
2021/2022,Heung-min Son,Tottenham Hotspur,23
2020/2021,Harry Kane,Tottenham Hotspur,23
2019/2020,Jamie Vardy,Leicester City,23
2018/2019,Sadio Mané,Liverpool FC,22
2018/2019,Pierre-Emerick Aubameyang,Arsenal FC,22
2018/2019,Mohamed Salah,Liverpool FC,22
2017/2018,Mohamed Salah,Liverpool FC,32
2016/2017,Harry Kane,Tottenham Hotspur,29
2015/2016,Harry Kane,Tottenham Hotspur,25
2014/2015,Kun Agüero,Manchester City,26
2013/2014,Luis Suárez,Liverpool FC,31
2012/2013,Robin van Persie,Manchester United,26
2011/2012,Robin van Persie,Arsenal FC,30
2010/2011,Dimitar Berbatov,Manchester United,21
2010/2011,Carlos Tévez,Manchester City,21
2009/2010,Didier Drogba,Chelsea FC,29
2008/2009,Nicolas Anelka,Chelsea FC,19
2007/2008, Cristiano Ronaldo,Manchester United,31
2006/2007,Didier Drogba,Chelsea FC,20
2005/2006,Thierry Henry,Arsenal FC,27
2004/2005,Thierry Henry,Arsenal FC,25
2003/2004,Thierry Henry,Arsenal FC,30
2002/2003,Ruud van Nistelrooy,Manchester United,25
2001/2002,Thierry Henry,Arsenal FC,24
2000/2001,Jimmy Floyd Hasselbaink,Chelsea FC,23
1999/2000,Kevin Phillips,Sunderland AFC,30
1998/1999,Michael Owen,Liverpool FC,18
1998/1999,Jimmy Floyd Hasselbaink,Leeds United,18
1998/1999,Dwight Yorke,Manchester United,18
1997/1998,Michael Owen,Liverpool FC,18
1997/1998,Dion Dublin,Coventry City,18
1997/1998,Chris Sutton,Blackburn Rovers,18
1996/1997,Alan Shearer,Newcastle United,25
1995/1996,Alan Shearer,Blackburn Rovers,31
1994/1995,Alan Shearer,Blackburn Rovers,34
1993/1994,Andy Cole,Newcastle United,34
1992/1993,Teddy Sheringham,Tottenham Hotspur,22
1991/1992,Ian Wright,Arsenal FC,29
1990/1991,Alan Smith,Arsenal FC,23
1989/1990,Gary Lineker,Tottenham Hotspur,24
1988/1989,Alan Smith,Arsenal FC,23
1987/1988,John Aldridge,Liverpool FC,26
1986/1987,Clive Allen,Tottenham Hotspur,33
1985/1986,Gary Lineker,Everton FC,30
1984/1985,Kerry Dixon,Chelsea FC,24
1984/1985,Gary Lineker,Leicester City,24
1983/1984,Ian Rush,Liverpool FC,32
1982/1983,Luther Blissett,Watford FC,27
1981/1982,Kevin Keegan,Southampton FC,26
1980/1981,Steve Archibald,Tottenham Hotspur,20
1980/1981,Peter Withe,Aston Villa,20
1979/1980,Phil Boyer,Southampton FC,23
1978/1979,Frank Worthington,Bolton Wanderers,24
1977/1978,Bob Latchford,Everton FC,30
1976/1977,Malcolm MacDonald,Arsenal FC,25
1976/1977,Andy Gray,Aston Villa,25
1975/1976,Ted MacDougall,Norwich City,23
1974/1975,Malcolm MacDonald,Newcastle United,21
